StationUID,StationID,StationName.Zh_tw,StationName.En,StationPosition.PositionLat,StationPosition.PositionLon,StationAddress,BikeAllowOnHoliday
TRTC-BL09,BL09,江子翠,Jiangzicui,25.030265,121.47257,22044新北市板橋區文化路2段296號B1,TRUE
TRTC-BL10,BL10,龍山寺,Longshan Temple,25.03528,121.500325,10855臺北市萬華區西園路1段153號,TRUE
TRTC-BL11,BL11,西門,Ximen,25.042025,121.508175,10042臺北市中正區寶慶路32之1號B1,TRUE
TRTC-BL12,BL12,台北車站,Taipei Main Station,25.04631,121.517415,10041臺北市中正區忠孝西路1段49號,FALSE
TRTC-BL13,BL13,善導寺,Shandao Temple,25.04468,121.523885,10049臺北市中正區忠孝東路1段58號B1,TRUE
TRTC-BL14,BL14,忠孝新生,Zhongxiao Xinsheng,25.042498,121.53321,10652臺北市大安區新生南路1段67號,TRUE
TRTC-BL15,BL15,忠孝復興,Zhongxiao Fuxing,25.041749,121.545026,10691臺北市大安區忠孝東路4段47號,FALSE
TRTC-BL16,BL16,忠孝敦化,Xhongxiao Dunhua,25.041505,121.55045,10686臺北市大安區忠孝東路4段182號,TRUE
TRTC-BL17,BL17,國父紀念館,Sun Yat-Sen Memorial Hall,25.04137,121.557815,11072臺北市信義區忠孝東路4段400號,TRUE
TRTC-BL18,BL18,市政府,Taipei City Hall,25.041135,121.565685,11071臺北市信義區忠孝東路5段2號,TRUE
TRTC-BL19,BL19,永春,Yongchun,25.040855,121.5762,11061臺北市信義區忠孝東路5段455號,TRUE
TRTC-BL20,BL20,後山埤,Houshanpi,25.044715,121.58227,11575臺北市南港區忠孝東路6段2號,TRUE
TRTC-BL21,BL21,昆陽,Kunyang,25.050459,121.593228,11558臺北市南港區忠孝東路6段451號,TRUE
TRTC-BL22,BL22,南港,Nangang,25.052035,121.60697,11561臺北市南港區忠孝東路7段380號,TRUE
TRTC-BL23,BL23,南港展覽館,Taipei Nangang Exhibition Center,25.054919,121.616861,11568臺北市南港區研究院路1段1號,TRUE
TRTC-Y07,Y07,大坪林,Dapinglin,24.98272,121.54134,23143新北市新店區北新路3段190號,TRUE
TRTC-Y08,Y08,十四張,Shisizhang,25.052035,121.60697,23141新北市新店區民權路282號,FALSE
TRTC-Y09,Y09,秀朗橋,Xiulang Bridge,24.98272,121.54134,23582新北市中和區景平路2號,FALSE
TRTC-Y10,Y10,景平,Jingping,24.984333,121.527698,23578新北市中和區景平路121號,FALSE
TRTC-Y11,Y11,景安,Jingan,24.99392,121.505114,23582新北市中和區景平路486號,TRUE
TRTC-Y12,Y12,中和,Zhonghe,24.990549,121.525051,23558新北市中和區中山路二段271號,FALSE
TRTC-Y13,Y13,橋和,Qiaohe,24.991968,121.516553,23557新北市中和區板南路430號,FALSE
TRTC-Y14,Y14,中原,Zhongyuan,24.99392,121.505114,23556新北市中和區板南路510號,FALSE
TRTC-Y15,Y15,板新,Banxin,25.001981,121.496052,22066新北市板橋區板新路109號,FALSE
TRTC-Y16,Y16,板橋,Banqiao,25.004413,121.490461,22041新北市板橋區新站路66號,FALSE
TRTC-Y17,Y17,新埔民生,Xinpu Minsheng,25.00841,121.484159,22047新北市板橋區民生路3段70號,FALSE
TRTC-Y18,Y18,頭前庄,Touqianzhuang,25.039735,121.461655,24251新北市新莊區思源路18號B1,TRUE
TRTC-Y19,Y19,幸福,Xingfu,25.014491,121.472212,24250新北市新莊區思源路292號,FALSE
TRTC-Y20,Y20,新北產業園區,New Taipei Industrial Park,25.015156,121.464825,24886新北市新莊區五工路35號,FALSE
