StationID,StationName.Zh_tw,StationName.En,ExitID,ExitName.Zh_tw,ExitName.En,ExitPosition.PositionLat,ExitPosition.PositionLon,LocationDescription,Stair,Escalator,Elevator
R04,信義安和,Xinyi Anhe,4,信義安和站出口4,Xinyi Anhe Exit 4,25.033022,121.5534,信義路4段248號與通安街口,TRUE,0,FALSE
R04,信義安和,Xinyi Anhe,5,信義安和站出口5,Xinyi Anhe Exit 5,25.033326,121.553526,信義路4段239巷口,TRUE,1,TRUE
R06,大安森林公園,Daan Park,1,大安森林公園站出口1,Daan Park Exit 1,25.033693,121.534442,信義路3段、信義路3段31巷口,TRUE,0,FALSE
R06,大安森林公園,Daan Park,2,大安森林公園站出口2,Daan Park Exit 2,25.033391,121.534487,信義路3段、近新生南路2段,TRUE,1,FALSE
R06,大安森林公園,Daan Park,3,大安森林公園站出口3,Daan Park Exit 3,25.033396,121.534882,信義路3段、西側光塔,TRUE,0,FALSE
R06,大安森林公園,Daan Park,4,大安森林公園站出口4,Daan Park Exit 4,25.033391,121.535292,信義路3段、東側光塔,FALSE,0,TRUE
R06,大安森林公園,Daan Park,5,大安森林公園站出口5,Daan Park Exit 5,25.033369,121.535989,信義路3段、近建國南路2段,TRUE,1,TRUE
R06,大安森林公園,Daan Park,6,大安森林公園站出口6,Daan Park Exit 6,25.033654,121.535952,信義路3段、仁愛路3段24巷口、近工業局,TRUE,1,TRUE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,1,中正紀念堂站出口1,Chiang Kai-Shek Memorial Hall Exit 1,25.033034,121.517764,羅斯福路1段、近勞保局,FALSE,1,TRUE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,2,中正紀念堂站出口2,Chiang Kai-Shek Memorial Hall Exit 2,25.032406,121.518261,羅斯福路1段8之1號、近南門市場、中正區公所,TRUE,2,FALSE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,3,中正紀念堂站出口3,Chiang Kai-Shek Memorial Hall Exit 3,25.032281,121.519,羅斯福路1段、近金華街口,TRUE,2,FALSE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,4,中正紀念堂站出口4,Chiang Kai-Shek Memorial Hall Exit 4,25.033525,121.51796,羅斯福路1段7號,TRUE,0,FALSE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,5,中正紀念堂站出口5,Chiang Kai-Shek Memorial Hall Exit 5,25.035148,121.517109,愛國東路、中山南路口、近中正紀念堂,TRUE,1,TRUE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,6,中正紀念堂站出口6,Chiang Kai-Shek Memorial Hall Exit 6,25.03588,121.516543,愛國西路、中山南路口、市立大學附設小學、國家圖書館,TRUE,0,FALSE
R08,中正紀念堂,Chiang Kai-Shek Memorial Hall,7,中正紀念堂站出口7,Chiang Kai-Shek Memorial Hall Exit 7,25.034565,121.515983,愛國西路2號、近財政部財務大樓,TRUE,2,FALSE
R09,台大醫院,NTU Hospital,1,台大醫院站出口1,NTU Hospital Exit 1,25.040913,121.515731,公園路52號、近總統府,TRUE,1,FALSE
R09,台大醫院,NTU Hospital,2,台大醫院站出口2,NTU Hospital Exit 2,25.041224,121.516589,常德街1號、臺大醫院舊館大門旁,TRUE,1,TRUE
R09,台大醫院,NTU Hospital,3,台大醫院站出口3,NTU Hospital Exit 3,25.042808,121.516632,公園路、臺大醫院復健部旁,TRUE,0,TRUE
R09,台大醫院,NTU Hospital,4,台大醫院站出口4,NTU Hospital Exit 4,25.042876,121.516299,公園路、近國立台灣博物館,TRUE,1,FALSE
R10,台北車站,Taipei Main Station,M5,台北車站M5,Taipei Main Station Exit M5,25.046755,121.516246,忠孝西路1段66號對面,FALSE,1,FALSE
R10,台北車站,Taipei Main Station,M6,台北車站M6,Taipei Main Station Exit M6,25.046234,121.516787,忠孝西路1段38號,TRUE,0,FALSE
R10,台北車站,Taipei Main Station,M7,台北車站M7,Taipei Main Station Exit M7,25.046077,121.518643,忠孝西路1段33號,TRUE,0,FALSE
R10,台北車站,Taipei Main Station,M8,台北車站M8,Taipei Main Station Exit M8,25.045948,121.517479,公園路13號,FALSE,1,FALSE
R10,台北車站,Taipei Main Station,M1,台北車站M1,Taipei Main Station Exit M1,25.048232,121.518193,台鐵台北車站北一門旁,TRUE,2,FALSE
R10,台北車站,Taipei Main Station,M2,台北車站M2,Taipei Main Station Exit M2,25.048064,121.519067,市民大道1段209號對面、近國父史蹟紀念館,TRUE,2,TRUE
R10,台北車站,Taipei Main Station,M3,台北車站M3,Taipei Main Station Exit M3,25.046337,121.517882,忠孝西路1段45號,FALSE,1,FALSE
R10,台北車站,Taipei Main Station,M4,台北車站M4,Taipei Main Station Exit M4,25.046485,121.517345,忠孝西路1段38號對面,TRUE,2,TRUE
R11,中山,Zhongshan,1,中山站出口1,Zhongshan Exit 1,25.052414,121.520303,南京西路16號,TRUE,2,FALSE
R11,中山,Zhongshan,4,中山站出口4,Zhongshan Exit 4,25.052858,121.520306,南京西路27號旁,FALSE,1,TRUE
R11,中山,Zhongshan,2,中山站出口2,Zhongshan Exit 2,25.052382,121.521063,南京西路12號旁、近中山北路1段,TRUE,0,FALSE
R11,中山,Zhongshan,3,中山站出口3,Zhongshan Exit 3,25.052611,121.521154,南京西路11號旁、近中山北路2段,TRUE,0,FALSE
R11,中山,Zhongshan,5,中山站出口5,Zhongshan Exit 5,25.053037,121.519329,南京西路55號、近南京西路與赤峰街路口東北隅,TRUE,1,TRUE
R11,中山,Zhongshan,6,中山站出口6,Zhongshan Exit 6,25.052833,121.519007,南京西路與赤峰街路口東南隅，南京西路64巷旁,TRUE,1,TRUE
R12,雙連,Shuanglian,1,雙連站出口1,Shuanglian Exit 1,25.057499,121.520588,民生西路72號旁,TRUE,2,FALSE
R12,雙連,Shuanglian,2,雙連站出口2,Shuanglian Exit 2,25.057825,121.520615,民生西路47號,TRUE,1,TRUE
R13,民權西路,Minzuan W. Rd.,1,民權西路站出口1,Minquan W.Rd. Exit 1,25.062641,121.519454,民權西路72號,TRUE,0,TRUE
R13,民權西路,Minzuan W. Rd.,4,民權西路站出口4,Minquan W.Rd. Exit 2,25.061936,121.519867,天祥路48巷35號對面,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,3,民權西路站出口3,Minquan W.Rd. Exit 3,25.061766,121.519786,天祥路16巷口,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,2,民權西路站出口2,Minquan W.Rd. Exit 4,25.061878,121.519614,成淵高中後方,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,5,民權西路站出口5,Minquan W.Rd. Exit 5,25.063122,121.518558,承德路3段、撫順街口,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,6,民權西路站出口6,Minquan W.Rd. Exit 6,25.062693,121.51853,承德路2段、民權西路口，近台灣銀行,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,7,民權西路站出口7,Minquan W.Rd. Exit 7,25.06267,121.520092,民權西路58、60號前,FALSE,2,FALSE
R13,民權西路,Minzuan W. Rd.,8,民權西路站出口8,Minquan W.Rd. Exit 8,25.06266,121.520602,民權西路、天祥路口，近民權西路48號,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,9,民權西路站出口9,Minquan W.Rd. Exit 9,25.063027,121.520744,民權西路、天祥路口，近民權西路53號,TRUE,0,FALSE
R13,民權西路,Minzuan W. Rd.,10,民權西路站出口10,Minquan W.Rd. Exit 10,25.063063,121.519791,民權西路67、69號前,FALSE,2,TRUE
R14,圓山,Yuanshan,1,圓山站出口1,Yaunshan Exit 1,25.070785,121.520033,酒泉街與玉門街,TRUE,0,TRUE
R14,圓山,Yuanshan,2,圓山站出口2,Yaunshan Exit 2,25.071776,121.520108,庫倫街,TRUE,0,TRUE
R15,劍潭,Jiantan,1,劍潭站出口1,Jiantan Exit 1,25.08503,121.525175,中山北路5段65號,TRUE,0,FALSE
R15,劍潭,Jiantan,2,劍潭站出口2,Jiantan Exit 2,25.083466,121.524807,基河路22號對面,TRUE,0,TRUE
R15,劍潭,Jiantan,3,劍潭站出口3,Jiantan Exit 3,25.084284,121.52496,劍潭路,TRUE,0,FALSE
R16,士林,Shilin,1,士林站出口1,Shilin Exit 1,25.094106,121.525966,中正路247巷旁,TRUE,0,TRUE
R16,士林,Shilin,2,士林站出口2,Shilin Exit 2,25.092901,121.526433,福德路1號,FALSE,0,TRUE
R17,芝山,Zhishan,1,芝山站出口1,Zhishan Exit 1,25.102046,121.522636,福國路70號,TRUE,0,TRUE
R17,芝山,Zhishan,2,芝山站出口2,Zhishan Exit 2,25.103804,121.522356,福華路162巷口對面,TRUE,0,TRUE
R18,明德,Mingde,0,明德站出口,Mingde Exit,25.109298,121.519153,明德路95號、明德國中斜對面,TRUE,0,TRUE
R19,石牌,Shipai,1,石牌站出口1,Shipai Exit 1,25.115007,121.515171,石牌路1段、2段與東華街、西安街交叉口、近市立石牌國中,TRUE,0,TRUE
R19,石牌,Shipai,2,石牌站出口2,Shipai Exit 2,25.113602,121.516205,西安街1段329號對面,TRUE,0,TRUE
R20,唭哩岸,Qilian,1,唭哩岸站出口1,Qilian Exit 1,25.120673,121.506987,西安街2段279號,TRUE,0,TRUE
R20,唭哩岸,Qilian,2,唭哩岸站出口2,Qilian Exit 2,25.120854,121.50589,西安街2段347號,TRUE,0,TRUE
R21,奇岩,Qiyan,0,奇岩站出口,Qiyan Exit,25.126169,121.50096,北投路1段與三合街2段交叉口,TRUE,0,TRUE
R22,北投,Beitou,0,北投站出口,Beitou Exit,25.132316,121.49824,育仁路與光明路交叉口、近私立十信高中,TRUE,0,TRUE
R23,復興崗,Fuxinggang,2,復興崗站出口2,Fuxinggang Exit 2,25.137325,121.485159,捷運北投機廠,TRUE,0,TRUE
R23,復興崗,Fuxinggang,1,復興崗站出口1,Fuxinggang Exit 1,25.137665,121.485373,中央北路3段53巷內,TRUE,0,TRUE
R24,忠義,Zhongyi,1,忠義站出口1,Zhongyi Exit 1,25.131056,121.473169,中央北路4段301號,TRUE,0,TRUE
R24,忠義,Zhongyi,2,忠義站出口2,Zhongyi Exit 2,25.130905,121.473657,近和信醫院,TRUE,0,TRUE
R25,關渡,Guandu,1,關渡站出口1,Guandu Exit 1,25.125431,121.467215,大度路3段296巷51號,TRUE,0,TRUE
R25,關渡,Guandu,2,關渡站出口2,Guandu Exit 2,25.12547,121.466861,中央北路4段583巷11弄內、近關渡國小,TRUE,0,TRUE
R26,竹圍,Zhuwei,1,竹圍站出口1,Zhuwei Exit 1,25.136971,121.459726,民權路與民族路交叉口、近馬偕醫院,TRUE,0,TRUE
R26,竹圍,Zhuwei,2,竹圍站出口2,Zhuwei Exit 2,25.136854,121.459383,民權一街16號,TRUE,0,FALSE
R27,紅樹林,Hongshulin,0,新北投站出口,Xinbeitou Exit,25.136968,121.503524,大業路與光明路交叉口、近北投公園,TRUE,0,TRUE
R27,紅樹林,Hongshulin,1,紅樹林站出口1,Hongshulin Exit 1,25.154137,121.459039,中正東路2段68號,TRUE,0,TRUE
R27,紅樹林,Hongshulin,2,紅樹林站出口2,Hongshulin Exit 2,25.153831,121.458583,自行車步道紅樹林段、近紅樹林教育館,TRUE,0,TRUE
R28,淡水,Tamsui,1,淡水站出口1,Tamsui Exit 1,25.168084,121.445355,中正東路、近英專路,TRUE,0,TRUE
R28,淡水,Tamsui,2,淡水站出口2,Tamsui Exit 2,25.167577,121.445988,中正東路、近學府路,TRUE,0,FALSE
G01,新店,Xindian,0,新店站出口,Xindian Exit,24.957877,121.537558,北新路1段與北宜路1段交叉口,TRUE,0,TRUE
G02,新店區公所,Xindian District Office,1,新店區公所站出口1,Xindian District Office Exit 1,24.967393,121.541124,北新路1段295號與中華路交叉口,TRUE,0,TRUE
G02,新店區公所,Xindian District Office,2,新店區公所站出口2,Xindian District Office Exit 2,24.967986,121.541845,北新路1段與北新路88巷交叉口,TRUE,0,FALSE
G03,七張,Qizhang,1,七張站出口1,Qizhang Exit 1,24.975025,121.543068,北新路2段150號,TRUE,0,TRUE
G03,七張,Qizhang,2,七張站出口2,Qizhang Exit 2,24.97691,121.542641,北新路2段、鄰近明德路口、近新店郵局,TRUE,0,FALSE
G03A,小碧潭,Xiaobitan,1,小碧潭站出口1,Xiaobitan Exit 1,24.971684,121.530311,環河路與中央路交叉口,TRUE,1,TRUE
G03A,小碧潭,Xiaobitan,2,小碧潭站出口2,Xiaobitan Exit 2,24.973192,121.52995,中央路與中央三街交叉口,TRUE,1,TRUE
G04,大坪林,Dapinglin,1,大坪林站出口1,Dapinglin Exit 1,24.982754,121.540874,民權路27號、北新路三段與民權路路口,TRUE,1,FALSE
G04,大坪林,Dapinglin,2,大坪林站出口2,Dapinglin Exit 2,24.982051,121.541619,北新路3段142巷口,TRUE,0,FALSE
G04,大坪林,Dapinglin,3,大坪林站出口3,Dapinglin Exit 3,24.982982,121.541572,北新路3段190號、北新路三段與民權路路口、鄰近消防署,TRUE,1,TRUE
G04,大坪林,Dapinglin,4,大坪林站出口4,Dapinglin Exit 4,24.983539,121.541405,北新路3段200號、鄰近景美橋,TRUE,0,FALSE
G05,景美,Jingmei,1,景美站出口1,Jingmei Exit 1,24.992296,121.540933,羅斯福路6段401巷口、景美郵局旁,TRUE,1,TRUE
G05,景美,Jingmei,2,景美站出口2,Jingmei Exit 2,24.993069,121.541517,景中街1號與景美街交叉口、文山二分局斜對面,TRUE,1,FALSE
G05,景美,Jingmei,3,景美站出口3,Jingmei Exit 3,24.992744,121.540546,羅斯福路6段218號與景福街交叉口、臺灣銀行旁,TRUE,1,FALSE
G06,萬隆,Wanlong,1,萬隆站出口1,Wanlong Exit 1,25.001367,121.538896,羅斯福路5段238號,TRUE,0,FALSE
G06,萬隆,Wanlong,2,萬隆站出口2,Wanlong Exit 2,25.00151,121.539613,羅斯福路5段245號,TRUE,1,FALSE
G06,萬隆,Wanlong,3,萬隆站出口3,Wanlong Exit 3,25.002215,121.539195,羅斯福路5段215號,TRUE,0,FALSE
G06,萬隆,Wanlong,4,萬隆站出口4,Wanlong Exit 4,25.002676,121.538572,羅斯福路5段214號,TRUE,1,TRUE
G07,公館,Gongguan,1,公館站出口1,Gongguan Exit 1,25.014509,121.534377,羅斯福路4段74號,TRUE,1,TRUE
G07,公館,Gongguan,2,公館站出口2,Gongguan Exit 2,25.014718,121.534721,羅斯福路4段舟山路口,TRUE,1,TRUE
G07,公館,Gongguan,3,公館站出口3,Gongguan Exit 3,25.015413,121.534055,羅斯福路4段台灣大學,TRUE,1,FALSE
G07,公館,Gongguan,4,公館站出口4,Gongguan Exit 4,25.015148,121.533623,羅斯福路4段44號,TRUE,0,FALSE
G08,台電大樓,Taipower Building,1,台電大樓站出口1,Taipower Building Exit 1,25.01962,121.528577,辛亥路1段、羅斯福路3段142巷口,TRUE,2,FALSE
G08,台電大樓,Taipower Building,2,台電大樓站出口2,Taipower Building Exit 2,25.020192,121.529093,羅斯福路3段與辛亥路1段交叉口、古亭國小旁,TRUE,1,FALSE
G08,台電大樓,Taipower Building,3,台電大樓站出口3,Taipower Building Exit 3,25.021179,121.527849,羅斯福路3段177號,TRUE,0,FALSE
G08,台電大樓,Taipower Building,4,台電大樓站出口4,Taipower Building Exit 4,25.021018,121.527297,羅斯福路3段100號、師大路130巷口,TRUE,0,FALSE
G08,台電大樓,Taipower Building,5,台電大樓站出口5,Taipower Building Exit 5,25.020758,121.527739,羅斯福路3段126號,TRUE,1,TRUE
G09,古亭,Guting,1,古亭站出口1,Guting Exit 1,25.025976,121.522973,羅斯福路2段136號,FALSE,0,TRUE
G09,古亭,Guting,2,古亭站出口2,Guting Exit 2,25.025502,121.523353,羅斯福路2段168號,TRUE,2,FALSE
G09,古亭,Guting,3,古亭站出口3,Guting Exit 3,25.026078,121.523353,羅斯福路2段79號,TRUE,2,FALSE
